"29.25 in HIGH x 26.125 in WIDE x .75 in DEEP(74.29 cm HIGH x 66.36 cm WIDE x 1.90 cm DEEP)",".75"
"19.75 in HIGH x 22.75 in WIDE x 0.25 in DEEP(50.16 cm HIGH x 57.78 cm WIDE x .63 cm DEEP)","0.25"
"40.625 in HIGH x 53.5 in WIDE x 1.125 in DEEP(103.19 cm HIGH x 135.89 cm WIDE x 2.86 cm DEEP)","1.125"
"69 in HIGH x 55.5 in WIDE x 1.75 in DEEP(175.26 cm HIGH x 140.97 cm WIDE x 4.44 cm DEEP)","1.75"
"17 in HIGH x 111 in WIDE x 1.5 in DEEP(43.18 cm HIGH x 281.94 cm WIDE x 3.81 cm DEEP)","1.5"
"96 in HIGH x 48 in WIDE x 1.75 in DEEP(243.84 cm HIGH x 121.92 cm WIDE x 4.44 cm DEEP)","1.75"
"46.375 in HIGH x 81 in WIDE x 2.25 in DEEP(117.79 cm HIGH x 205.74 cm WIDE x 5.71 cm DEEP)","2.25"
"87.5 in HIGH x 106 in WIDE x 12 in DEEP(222.25 cm HIGH x 269.24 cm WIDE x 30.48 cm DEEP)","12"
"90 in HIGH x 120 in WIDE x 1 in DEEP(228.60 cm HIGH x 304.80 cm WIDE x 2.54 cm DEEP)","1"
"56.875 in HIGH x 57 in WIDE x 4.5 in DEEP(144.46 cm HIGH x 144.78 cm WIDE x 11.43 cm DEEP)","4.5"
"5.25 in HIGH x 23.75 in WIDE x 0.75 in DEEP(13.33 cm HIGH x 60.32 cm WIDE x 1.90 cm DEEP)","0.75"
"69 in HIGH x 46 in WIDE x 2.125 in DEEP(175.26 cm HIGH x 116.84 cm WIDE x 5.40 cm DEEP)","2.125"
"66 in HIGH x 66 in WIDE x 1.75 in DEEP(167.64 cm HIGH x 167.64 cm WIDE x 4.44 cm DEEP)","1.75"
"66 in HIGH x 97 in WIDE x 1.75 in DEEP(167.64 cm HIGH x 246.38 cm WIDE x 4.44 cm DEEP)","1.75"
"80 in HIGH x 96 in WIDE x 2 in DEEP(203.20 cm HIGH x 243.84 cm WIDE x 5.08 cm DEEP)","2"
"80.25 in HIGH x 65.5 in WIDE x 1.25 in DEEP(203.83 cm HIGH x 166.37 cm WIDE x 3.17 cm DEEP)","1.25"
"16.125 in HIGH x 45.75 in WIDE x 1.75 in DEEP(40.96 cm HIGH x 116.20 cm WIDE x 4.44 cm DEEP)","1.75"
"54 in HIGH x 90 in WIDE x 15 in DEEP(137.16 cm HIGH x 228.60 cm WIDE x 38.10 cm DEEP)","15"
"52.5 in HIGH x 43.75 in WIDE x 1.75 in DEEP(133.35 cm HIGH x 111.12 cm WIDE x 4.44 cm DEEP)","1.75"
"60 in HIGH x 80 in WIDE x 1.5 in DEEP(152.40 cm HIGH x 203.20 cm WIDE x 3.81 cm DEEP)","1.5"
"49.75 in HIGH x 58.25 in WIDE x 2.25 in DEEP(126.36 cm HIGH x 147.95 cm WIDE x 5.71 cm DEEP)","2.25"
"44.25 in HIGH x 81 in WIDE x 2.25 in DEEP(112.39 cm HIGH x 205.74 cm WIDE x 5.71 cm DEEP)","2.25"
"42.5 in HIGH x 81 in WIDE x 2.25 in DEEP(107.95 cm HIGH x 205.74 cm WIDE x 5.71 cm DEEP)","2.25"
"65.5 in HIGH x 65.5 in WIDE x 2 in DEEP(166.37 cm HIGH x 166.37 cm WIDE x 5.08 cm DEEP)","2"
"52 in HIGH x 76 in WIDE x 9 in DEEP(132.08 cm HIGH x 193.04 cm WIDE x 22.86 cm DEEP)","9"
"15.875 in HIGH x 10 in WIDE x 3.375 in DEEP(40.32 cm HIGH x 25.40 cm WIDE x 8.57 cm DEEP)","3.375"
"45 in HIGH x 45 in WIDE x .75 in DEEP(114.30 cm HIGH x 114.30 cm WIDE x 1.90 cm DEEP)",".75"
"41.5 in HIGH x 29.5 in WIDE x 1.5 in DEEP(105.41 cm HIGH x 74.93 cm WIDE x 3.81 cm DEEP)","1.5"
"13.75 in HIGH x 13.75 in WIDE x 1.125 in DEEP(34.92 cm HIGH x 34.92 cm WIDE x 2.86 cm DEEP)","1.125"
"12 in HIGH x 7.75 in WIDE x 1.5 in DEEP(30.48 cm HIGH x 19.68 cm WIDE x 3.81 cm DEEP)","1.5"
"83 in HIGH x 178.5 in WIDE x 3 in DEEP(210.82 cm HIGH x 453.39 cm WIDE x 7.62 cm DEEP)","3"
"58.25 in HIGH x 52 in WIDE x 1.5 in DEEP(147.95 cm HIGH x 132.08 cm WIDE x 3.81 cm DEEP)","1.5"
"18 in HIGH x 18 in WIDE x 1.125 in DEEP(45.72 cm HIGH x 45.72 cm WIDE x 2.86 cm DEEP)","1.125"
"16 in HIGH x 16 in WIDE x 1.5 in DEEP(40.64 cm HIGH x 40.64 cm WIDE x 3.81 cm DEEP)","1.5"
"36 in HIGH x 36 in WIDE x 2.5 in DEEP(91.44 cm HIGH x 91.44 cm WIDE x 6.35 cm DEEP)","2.5"
"17 in HIGH x 14 in WIDE x 1.5 in DEEP(43.18 cm HIGH x 35.56 cm WIDE x 3.81 cm DEEP)","1.5"
"83 in HIGH x 83 in WIDE x 1.5 in DEEP(210.82 cm HIGH x 210.82 cm WIDE x 3.81 cm DEEP)","1.5"
"24 in HIGH x 20 in WIDE x 1.25 in DEEP(60.96 cm HIGH x 50.80 cm WIDE x 3.17 cm DEEP)","1.25"
"18 in HIGH x 14 in WIDE x 1.75 in DEEP(45.72 cm HIGH x 35.56 cm WIDE x 4.44 cm DEEP)","1.75"
